Altium Designer Pick and Place Locations
F:\04_study_hardware\earth_hardware_design\TestWave_all_V1\5_Assembly\地震波采集系统\pick and place JLC\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       12/04/22
Time:       17:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Description"
"U2","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL","1755.000","575.000","1755.000","575.000","1715.630","475.250","TopLayer","0","ADS111x Ultra-Small, Low-Power, I
2C-Compatible, 860-SPS, 16-Bit ADCs
With Internal Reference, Oscillator, and Programmable Comparator"
"X2","CRYSTAL_YXC_32MHZ_-_3225","1201.831","655.000","1201.831","655.000","1167.382","611.693","BottomLayer","90","晶振-4脚"
"X1","CRYSTAL_SEIKO_32.768KHZ","990.000","680.000","990.000","680.000","990.000","621.929","TopLayer","90","晶振-2脚"
"U1","STM32F401RCT6_LQFP64","1310.000","610.000","1310.000","610.000","1083.622","757.638","TopLayer","270","STM32F401RCT6 LQFP64"
"U5","BQ27542-G1","490.000","299.695","490.000","299.685","411.260","339.055","TopLayer","270","Single Cell Li-Ion Battery Fuel Gauge for Battery Pack Integration"
"U4","BQ24195_PVQFN42","542.704","936.886","542.704","936.886","463.964","986.099","TopLayer","0","bq2419x I
2C Controlled 4.5-A Single Cell USB/Adapter Charger
with Narrow VDC Power Path Management and USB OTG"
"U3","SOT-23-5","950.000","970.005","950.000","970.000","987.400","1029.055","TopLayer","270","TLV713 Capacitor-Free, 150-mA, Low-Dropout Regulator
With Foldback Current Limit for Portable Devices"
"R34","R0805_200X125X140L50N","1245.000","993.045","1245.000","993.045","1245.000","959.581","TopLayer","90","0805 SMT Resistor"
"R29","R0805_200X125X140L50N","790.000","110.315","790.000","110.315","823.465","110.315","TopLayer","180","0805 SMT Resistor"
"R28","R0805_200X125X140L50N","675.026","95.315","675.026","95.315","675.026","61.850","TopLayer","90","0805 SMT Resistor"
